Name,PriceRange,Menu,Description,Cuisine,Review,Park,City,Photos
El Camion,$,http://www.elcamionseattle.com/menu/,"El CamionÊserves fresh, authentic mexican food from their three taco trucks and from their restaurant in Ballard. They are considered to be the best tacos in Seattle.",Mexican,"Some of the best Mexican food in the city! Gotta get the green sauce before it's gone, though. Still working my way through the menu, and everything has been delicious! You can't go wrong. Staff was nice, too.",Northacres Park,Seattle,#elcamionseattle
The People's Burger,$,http://www.thepeoplesburger.com,"One of Seattle's original food trucks,ÊThe People's BurgerÊserves grilled-to-order burgers made from fresh and local ingredients",Burgers & American,"When they mean ""Fresh,"" you can literally feel it biting into BOTH their burgers and fries. I don't know how they do it, but it doesn't taste or feel greasy at all. And the taste is simply solid and fulfilling. Def going back. ",Dr. Jose Rizal Park,Seattle,#thepeoplesburger
Curbside,$,none,Traditional Vietnamese food coming out of a bright orange Food Truck!!!..or..technically..it's a Food Trailer...,Vietnamese,"The food at this truck is better than many Viet restaurants I've visited. The menu is extensive, and the staff is really nice. I can not rave enough about the banh mi thit nuong. These people really know how to cook pork, it's incredible. Also the spring rolls are awesome, and the bun thit nuong. Highly recommend! Fast service too.",David Rodgers Park,Seattle,#curbsidetrucks
Nosh Food Truck,$$,http://www.noshthetruck.com/menu/,"Nosh is a food truck with flair, feeding the good people of Seattle.",American & Fish and chips,Best fish & chips in Seattle. I have only had them every time they are at ChuckÕs hop shop Greenwood. I have had a lot of disappointing fish & chips in Seattle. This is a truly delicious beer batter and great fish.,Westlake Park,Seattle,#noshfoodtruck
Buddha Bruddah,$,http://buddhabruddah.com/food/,Asian mixed plate is our version of the traditional Hawaiian plate lunch,Asian Fusion & Hawaiian,"The food is always excellent. I knew the owners' folks and they have definitely captured the flavors of their folks' original recipes, but they also have added their own unique 'spin' and original recipes as well. The tastes from these Thai inspired fusion food plates are phenomenal . Wish I could go more often. I hope that I can catch the mobile truck at another event soon. ",Denny Park,Seattle,#buddhabruddah
Twirl and Dip,$,http://www.twirlanddip.com,This permanently situated ice cream truck in Golden Gate Park offers organic soft serve & floats.,Ice cream & Frozen yogurt & juice bar & smoothies,Love their chocolate/ vanilla bean twirl. I go to the ice cream truck location in the Golden Gate Park off Martin Luther King Road every weekend,Golden Gate Park,San Francisco,#twirlanddip
Lobsta Truck,$$,http://sf.lobstatruck.com/menu/,The Lobsta Truck came about after a innocent autumn trip to New England.,Seafood,"Top quality, perfectly prepared lobster rolls. Butter or mayo, your choice. Clam chowder is incredibly tasty and loaded. The lobster bisque is the best I've ever had. Just like Maine!",Brentwood Park,San Francisco,#lobstatruck
The Chairman Truck,$,http://eat24hrs.com/restaurants/order2/menu.php?id=54005&utm_source=54005&utm_medium=Website&utm_campaign=WRestaurantSite&utm_content=OrderButton,"Using secret recipes from the Little Red Cookbook, The Chairman Truck is leading the Great Culinary Leap Forward. Our food is inspired by the original street food of Asia - it's bold, spicy, unique, fast and delicious. We offer steamed and baked buns that use the freshest ingredients that are savory and addictive.",Taiwanese,"If you love asian fusion and house made pickles, you will love The Chairman. A must have it the buttermilk tofu, it's out of this world!",Margaret S. Hayward Park,San Francisco,#thechairmantruck
Presidio Picnic,$$,none,"San Francisco's favorite Sunday gathering, Presidio Picnic, is back with international food trucks, cocktails, music, lawn games, and even yoga. Sponsored by the Presidio Trust and Off the Grid",Cultural Center,Beautiful park. Different food truck's with really good food and sweets. Awesome place to hang out on a Sunday afternoon with family or friends. They do serve liquor as well. Very clean park and public bathrooms!,Crissy Field,San Francisco,#presidiopicnic
El Gallo Giro,$,http://www.gallogiro.com/menuweb.pdf,none,Tacos,Best tacos. Best Carnitas. Giant Quesadillas. Food is always good. People are always friendly. My fave SF Mexican food.,Garfield square,San Francisco,#elgallogiro
